Име,Име на англиски,Религија на која припаѓа објектот,Веб страна,Работно време,Телефон,Емаил,Ид,Лат,Лон
Balla Mëhalla,null,Ислам,null,null,null,null,2026921927,41.5181592,20.9658609,
Манастир Света Петка,Saint Petka Monastery,null,null,null,null,null,4485913838,41.1291432,20.8400056,
Dedo Jakim - Mill,null,null,null,null,null,null,3694881124,41.975162,22.8187714,
Разме Малески,null,null,null,null,null,null,5551410940,41.1753893,20.6781416,
Teqja  "ADËR BABA",null,Ислам,null,null,null,null,10077534873,41.5142629,20.9600539,
House of Lambeski,null,null,null,null,null,null,9945894317,41.1123275,20.7970433,
Православна црква "Свети Илија",null,Христијанство,null,null,null,null,7416200113,41.6444402,22.4565993,
Бегова кула,Bey's Tower,null,null,null,null,null,4271160712,41.9936684,21.4317487,
Henry Dunant,null,null,null,null,null,null,6837039795,41.1124032,20.8071328,
Haji Balaban Masjid,null,null,null,null,null,null,4895300521,42.0048505,21.4368762,
Sveta Petka,null,Христијанство,null,null,null,null,3499469386,42.1415493,21.695058,
Љупчо Сантов,null,null,null,null,null,null,9661483288,41.9143473,22.410612,
Манастир Св. Архангел Михаил,Monastery,Христијанство,null,null,null,null,499973497,41.701039,22.859018,
Генерал Михајло Апостолски,null,null,null,null,null,null,8883349543,41.9988251,21.4506665,
Sv. Dimitrija,null,Христијанство,null,null,null,null,503526281,41.744353,20.6993512,
Zena,null,null,null,null,null,null,1708412126,42.1355189,21.7200501,
Манастир Св. 40 Маченици,null,Христијанство,null,null,null,null,1475324917,42.0609829,21.3489729,
Католичка црква,null,null,null,null,null,null,2670727638,41.4350382,22.6401158,
Споменик на Јуриј Гагарин,Yuri Gagarin Monument,null,null,null,null,null,4380846206,41.9949279,21.4108745,
Црква Рождество на Пресв. Богородица,Nativity of the Theotokos Church,Христијанство,null,null,null,null,499973498,41.706763,22.8570672,
Manastir Sveti Jovan,null,Христијанство,null,null,null,null,2411429061,41.8286581,21.6894737,
Саат-кула,Clock Tower,null,null,null,null,null,5055455123,42.0792053,22.1818109,
Марко Деспотоски,null,null,null,null,null,null,7564125586,41.977893,21.1713626,
Св. Спас,Holy Salvation,Христијанство,null,null,null,null,7950390467,42.0125107,22.5987112,
WWII Battle - 17th Macedonian Brigade ws Bulgarian army,null,null,null,null,null,null,473902990,42.2916094,22.3507979,
Калата,Kalata,null,null,null,null,null,6471416045,41.9856377,22.5905605,
Споменик Св. Никола,Monument of St. Nicholas,null,null,null,null,null,7833094677,41.8646892,21.942062,
Народен Херој Кузман Јосифоски-Питу,People's hero Kuzman Josifoski-Pitu,null,null,null,null,null,2189840728,41.3451182,21.5519842,
Природонаучен Музеј,Macedonian Museum of Natural History,null,null,Tu-Su 09:00-16:00,null,null,172348137,42.005709,21.4174425,
Мустафа-пашина џамија,Murat Pasha Mosque,null,null,null,null,null,4365876494,42.000853,21.4375046,
The Bridge of Civilizations in Macedonia,null,null,null,null,null,null,5841674945,41.9963717,21.4339472,
chapel,null,null,null,null,null,null,5846663486,41.0239386,20.8255665,
Presveta Bogorodica,null,Христијанство,null,null,null,null,4136930357,41.0790945,20.8235095,
Rimska crkva,null,null,null,null,null,null,1475328742,42.0586697,21.3527926,
Невена Георгиева-Дуња,null,null,null,null,null,null,9078062189,41.993726,21.4332709,
Споменик „Лазар Колишевски“,null,null,null,null,null,null,7833095397,41.8644645,21.9410121,
МАР-7712,null,null,null,null,null,null,8402601134,41.4498577,22.6491133,
Споменик на жртви од НОВ,null,null,null,null,null,null,3039854149,41.9062629,20.9636151,
Гоце Делчев,Statue of Goce Delčev,null,null,null,null,null,367860262,41.4831122,20.9229426,
Св. Јован Крстител,Sv. Jovan Krstitel,Христијанство,null,null,null,null,3694794582,42.0758863,22.1831257,
Споменик на Питу Гули,Statue of Pitu Guli,null,null,null,null,null,2327281126,41.3649692,21.2497316,
Krste Petkov Misirkov,null,null,null,null,null,null,8883349544,41.9960184,21.4412009,
Св. Климент Охридски и Наум Охридски Чудотворец,Saints Clement of Ohrid and Naum,null,null,null,null,null,4128156210,41.9975624,21.4341509,
