Име,Име на англиски,Религија на која припаѓа објектот,Веб страна,Работно време,Телефон,Емаил,Ид,Лат,Лон
Balla Mëhalla,null,Ислам,null,null,null,,2026921927,41.5181592,
Манастир Света Петка,Saint Petka Monastery,null,null,null,null,,4485913838,41.1291432,
Dedo Jakim - Mill,null,null,null,null,null,,3694881124,41.975162,
Разме Малески,null,null,null,null,null,,5551410940,41.1753893,
Teqja  "ADËR BABA",null,Ислам,null,null,null,,10077534873,41.5142629,
House of Lambeski,null,null,null,null,null,,9945894317,41.1123275,
Православна црква "Свети Илија",null,Христијанство,null,null,null,,7416200113,41.6444402,
Бегова кула,Bey's Tower,null,null,null,null,,4271160712,41.9936684,
Henry Dunant,null,null,null,null,null,,6837039795,41.1124032,
Haji Balaban Masjid,null,null,null,null,null,,4895300521,42.0048505,
Sveta Petka,null,Христијанство,null,null,null,,3499469386,42.1415493,
Љупчо Сантов,null,null,null,null,null,,9661483288,41.9143473,
Манастир Св. Архангел Михаил,Monastery,Христијанство,null,null,null,,499973497,41.701039,
Генерал Михајло Апостолски,null,null,null,null,null,,8883349543,41.9988251,
Sv. Dimitrija,null,Христијанство,null,null,null,,503526281,41.744353,
Zena,null,null,null,null,null,,1708412126,42.1355189,
Манастир Св. 40 Маченици,null,Христијанство,null,null,null,,1475324917,42.0609829,
Католичка црква,null,null,null,null,null,,2670727638,41.4350382,
Споменик на Јуриј Гагарин,Yuri Gagarin Monument,null,null,null,null,,4380846206,41.9949279,
Црква Рождество на Пресв. Богородица,Nativity of the Theotokos Church,Христијанство,null,null,null,,499973498,41.706763,
Manastir Sveti Jovan,null,Христијанство,null,null,null,,2411429061,41.8286581,
Саат-кула,Clock Tower,null,null,null,null,,5055455123,42.0792053,
Марко Деспотоски,null,null,null,null,null,,7564125586,41.977893,
Св. Спас,Holy Salvation,Христијанство,null,null,null,,7950390467,42.0125107,
WWII Battle - 17th Macedonian Brigade ws Bulgarian army,null,null,null,null,null,,473902990,42.2916094,
Калата,Kalata,null,null,null,null,,6471416045,41.9856377,
Споменик Св. Никола,Monument of St. Nicholas,null,null,null,null,,7833094677,41.8646892,
Народен Херој Кузман Јосифоски-Питу,People's hero Kuzman Josifoski-Pitu,null,null,null,null,,2189840728,41.3451182,
Природонаучен Музеј,Macedonian Museum of Natural History,null,null,Tu-Su 09:00-16:00,null,,172348137,42.005709,
Мустафа-пашина џамија,Murat Pasha Mosque,null,null,null,null,,4365876494,42.000853,
The Bridge of Civilizations in Macedonia,null,null,null,null,null,,5841674945,41.9963717,
chapel,null,null,null,null,null,,5846663486,41.0239386,
Presveta Bogorodica,null,Христијанство,null,null,null,,4136930357,41.0790945,
Rimska crkva,null,null,null,null,null,,1475328742,42.0586697,
Невена Георгиева-Дуња,null,null,null,null,null,,9078062189,41.993726,
Споменик „Лазар Колишевски“,null,null,null,null,null,,7833095397,41.8644645,
МАР-7712,null,null,null,null,null,,8402601134,41.4498577,
Споменик на жртви од НОВ,null,null,null,null,null,,3039854149,41.9062629,
Гоце Делчев,null,null,null,null,null,,367860262,41.4831122,
Св. Јован Крстител,Sv. Jovan Krstitel,Христијанство,null,null,null,,3694794582,42.0758863,
Споменик на Питу Гули,Statue of Pitu Guli,null,null,null,null,,2327281126,41.3649692,
Krste Petkov Misirkov,null,null,null,null,null,,8883349544,41.9960184,
